"Programa
presupuestal";"Producto y o
proyecto";"Indicador de
producto";Línea base;"Meta de
cuatrienio";Valor total;"Responsable
del área";
"Consolidación
productiva del
sector de energía
eléctrica ";"Redes de alumbrado
público mejoradas";"Redes de alumbrado
público mejoradas
(Estos
recursos
corresponden
a un estimado
de lo que se va
a recaudar en
el cuatrienio
por el cobro
del servicio de
alumbrado
público)";N/D;1; $ 5,000,000,000.00 ;"Secretaria de
Infraestructura
y obras
publicas";
"Consolidación
productiva del
sector de
energía
eléctrica";"Redes de
alumbrado
público
ampliadas";"Redes de
alumbrado
público
ampliadas
(Estos
recursos
corresponden
a un estimado
de lo que se va
a recaudar en
el cuatrienio
por el cobro
del servicio de
alumbrado
publico";N/D;1;1000000000;"Secretaria de
Infraestructura
y obras
publicas";
"Consolidación
productiva del
sector de
energía
eléctrica";"Redes de
alumbrado
público con
mantenimiento";"Redes de
alumbrado
público en
funcionamiento
y con
mantenimiento
(Estos
recursos
corresponden
a un estimado
de lo que se va";N/D;1;8000000000;"Secretaria de
Infraestructura
y obras
publicas";
"Infraestructura
red vial
regional";"Vía secundaria
construida";"Vía secundaria
construida";0;4;10000000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Vía secundaria
mejorada";"Vía secundaria
mejorada";0;2;2600000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Ciclo
infraestructura
de la red
secundaria con
mantenimiento";"Ciclo
infraestructura
de la red
secundaria con
mantenimiento";0;15;2700000000;"Secretaria de
Obras
publicas";Kilómetros
"Infraestructura
red vial
regional";"Vía terciaria
construida";"Vía terciaria
construida";0;2;2750000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Vía terciaria
mejorada";"Vía terciaria
mejorada";39;62;5500000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Andén de la red
terciaria
habilitado";"Andén de la red
terciaria en
funcionamiento
(Construcción)";22;2;2500000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Ciclo
infraestructura
de la red
terciaria con
mantenimiento";"Ciclo
infraestructura
de la red vial
terciaria con
mantenimiento";0;1;1200000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Andén de la red
urbana
habilitado";"Andén de la red
urbana en
funcionamiento";7;75;1750000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Ciclo
infraestructura
urbana con
mantenimiento";"Ciclo
infraestructura
urbana con
mantenimiento";0;1;1200000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Infraestructura
red vial
regional";"Vía urbana
construida";"Vía urbana
construida
(Vías urbanas no
existentes con
gestión predial y
estudios y
diseños)";1;5;1750000000;"Secretaria de
Obras
publicas
Secretaria de
Trasporte y
Movilidad";Kilómetros
"Seguridad de
Transporte";"Servicio de
sensibilización
a usuarios de
los sistemas
de transporte,
en relación
con la
seguridad al
desplazarse";"Campañas
realizadas
(campañas de
sensibilización –
Cultura
ciudadana)";1;27;1080000000;"Secretaria de
Transporte y
Movilidad";Número
"Seguridad de
Transporte";"Ciclo
parqueaderos
construidos";"Ciclo
parqueaderos
construidos";N/D;5;360000000;"Secretaria de
Transporte y
Movilidad";Número
"Seguridad de
Transporte";"Infraestructura
de transporte
para la
seguridad vial
mejorada";"Semáforos
mantenidos";12;12;180000000;"Secretaria de
Transporte y
Movilidad";Numero
"Seguridad de
Transporte";"Infraestructura
de transporte
para la
seguridad vial
mejorada";"Semáforos
modernizados
(adquisición e
instalación de
semáforos
inteligentes)";0;4;178000000;"Secretaria de
Transporte y
Movilidad";Número
"Ordenamiento
territorial y
desarrollo
urbano";"4002013-Servicio de
apoyo
financiero
para el
Mejoramiento
integral de
barrios
(Presupuesto
participativo
– Acuerdo 02
de 2017- 5%)";"Proyectos
apoyados
financieramente en
Mejoramiento
Integral de Barrios
(Presupuesto
participativo –
Acuerdo 02 de
2017 -5%)";8;27;2.943.000.000;"Secretaria de
planeación";Número
"Ordenamiento
territorial y
desarrollo
urbano";"4002013-Servicio de
apoyo
financiero
para el
Mejoramiento
integral de
barrios
(Presupuesto
participativo)";"Proyectos
apoyados
financieramente en
Mejoramiento
Integral de Barrios
(Ejecución
remanente de años
anteriores)";0;19;3.746.252.814;"Secretaria de
planeación";Número
"Ordenamiento
territorial y
desarrollo
urbano";"4002016-Documentos
de
planeación";"Documentos de
planeación
elaborados
(Estudio de
Riesgos AVR –
Actualización
PBOT)";0;1;1.493.000.000;"Secretaria de
planeación";Número
"Ordenamiento
territorial y
desarrollo
urbano";"Parques
construidos";"Parques
construidos.
(Adquisición,";;1;3.000.000.000;;
"desprotección
social y/o
familiar";;"descentralizadas
(satélites)
optimizadas, en
funcionamiento y
fortalecidas)";9;null;null;Social;
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar";"Servicios de
atención
integral a
población en
condición de
discapacidad";"Personas
atendidas con
servicios integrales
(funcionamiento
UA; Contrato de
Beneficencia;
Banco de ayudas
técnicas)";2400;2400;1200000000;"Secretaria de
Desarrollo
Social";Número
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar";"Servicios de
atención
integral a
población en
condición de
discapacidad";"Personas
atendidas con
servicios integrales
(Creación del
subsidio para
cuidadores
vulnerables de la
población en
condición y/o
situación de
discapacidad
certificada)";0;400;189000000;"Secretaria de
Desarrollo
Social";Número
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar";"Centros de
atención
integral para
personas
con
discapacidad
adecuados";"Centros de
atención integral
para personas con
discapacidad
adecuados
(adecuación y
dotación UAI)";1;2;2311000000;"Secretaria de
Desarrollo
Social";Número
