"Programa_x000D_
presupuestal","Producto y o_x000D_
proyecto","Indicador de_x000D_
producto",Línea base,"Meta de_x000D_
cuatrienio",Valor total,"Responsable_x000D_
del área",Unnamed: 7
"Consolidación
productiva del
sector de energía
eléctrica ","Redes de alumbrado
público mejoradas","Redes de alumbrado
público mejoradas
(Estos
recursos
corresponden
a un estimado
de lo que se va
a recaudar en
el cuatrienio
por el cobro
del servicio de
alumbrado
público)",N/D,1.0,5000000000,"Secretaria de_x000D_
Infraestructura_x000D_
y obras_x000D_
publicas",
"Consolidación
productiva del
sector de
energía
eléctrica","Redes de_x000D_
alumbrado_x000D_
público_x000D_
ampliadas","Redes de
alumbrado
público
ampliadas
(Estos
recursos
corresponden
a un estimado
de lo que se va
a recaudar en
el cuatrienio
por el cobro
del servicio de
alumbrado
publico",N/D,1.0,1000000000,"Secretaria de_x000D_
Infraestructura_x000D_
y obras_x000D_
publicas",
"Consolidación
productiva del
sector de
energía
eléctrica","Redes de_x000D_
alumbrado_x000D_
público con_x000D_
mantenimiento","Redes de_x000D_
alumbrado_x000D_
público en_x000D_
funcionamiento_x000D_
y con_x000D_
mantenimiento_x000D_
(Estos_x000D_
recursos_x000D_
corresponden_x000D_
a un estimado_x000D_
de lo que se va",N/D,1.0,8000000000,"Secretaria de_x000D_
Infraestructura_x000D_
y obras_x000D_
publicas",
"Infraestructura
red vial
regional","Vía secundaria_x000D_
construida","Vía secundaria_x000D_
construida",0,4.0,10000000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Vía secundaria_x000D_
mejorada","Vía secundaria_x000D_
mejorada",0,2.0,2600000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Ciclo_x000D_
infraestructura_x000D_
de la red_x000D_
secundaria con_x000D_
mantenimiento","Ciclo_x000D_
infraestructura_x000D_
de la red_x000D_
secundaria con_x000D_
mantenimiento",0,15.0,2700000000,"Secretaria de_x000D_
Obras_x000D_
publicas",Kilómetros
"Infraestructura
red vial
regional","Vía terciaria_x000D_
construida","Vía terciaria_x000D_
construida",0,2.0,2750000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Vía terciaria_x000D_
mejorada","Vía terciaria_x000D_
mejorada",39,62.0,5500000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Andén de la red_x000D_
terciaria_x000D_
habilitado","Andén de la red_x000D_
terciaria en_x000D_
funcionamiento_x000D_
(Construcción)",22,2.0,2500000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Ciclo_x000D_
infraestructura_x000D_
de la red_x000D_
terciaria con_x000D_
mantenimiento","Ciclo_x000D_
infraestructura_x000D_
de la red vial_x000D_
terciaria con_x000D_
mantenimiento",0,1.0,1200000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Andén de la red_x000D_
urbana_x000D_
habilitado","Andén de la red_x000D_
urbana en_x000D_
funcionamiento",7,75.0,1750000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Ciclo_x000D_
infraestructura_x000D_
urbana con_x000D_
mantenimiento","Ciclo_x000D_
infraestructura_x000D_
urbana con_x000D_
mantenimiento",0,1.0,1200000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Infraestructura
red vial
regional","Vía urbana_x000D_
construida","Vía urbana_x000D_
construida_x000D_
(Vías urbanas no_x000D_
existentes con_x000D_
gestión predial y_x000D_
estudios y_x000D_
diseños)",1,5.0,1750000000,"Secretaria de_x000D_
Obras_x000D_
publicas_x000D_
Secretaria de_x000D_
Trasporte y_x000D_
Movilidad",Kilómetros
"Seguridad de
Transporte","Servicio de_x000D_
sensibilización_x000D_
a usuarios de_x000D_
los sistemas_x000D_
de transporte,_x000D_
en relación_x000D_
con la_x000D_
seguridad al_x000D_
desplazarse","Campañas_x000D_
realizadas_x000D_
(campañas de_x000D_
sensibilización –_x000D_
Cultura_x000D_
ciudadana)",1,27.0,1080000000,"Secretaria de_x000D_
Transporte y_x000D_
Movilidad",Número
"Seguridad de_x000D_
Transporte","Ciclo_x000D_
parqueaderos_x000D_
construidos","Ciclo_x000D_
parqueaderos_x000D_
construidos",N/D,5.0,360000000,"Secretaria de_x000D_
Transporte y_x000D_
Movilidad",Número
"Seguridad de
Transporte","Infraestructura_x000D_
de transporte_x000D_
para la_x000D_
seguridad vial_x000D_
mejorada","Semáforos_x000D_
mantenidos",12,12.0,180000000,"Secretaria de_x000D_
Transporte y_x000D_
Movilidad",Numero
"Seguridad de
Transporte","Infraestructura_x000D_
de transporte_x000D_
para la_x000D_
seguridad vial_x000D_
mejorada","Semáforos_x000D_
modernizados_x000D_
(adquisición e_x000D_
instalación de_x000D_
semáforos_x000D_
inteligentes)",0,4.0,178000000,"Secretaria de_x000D_
Transporte y_x000D_
Movilidad",Número
"Ordenamiento
territorial y
desarrollo
urbano","4002013-Servicio de_x000D_
apoyo_x000D_
financiero_x000D_
para el_x000D_
Mejoramiento_x000D_
integral de_x000D_
barrios_x000D_
(Presupuesto_x000D_
participativo_x000D_
– Acuerdo 02_x000D_
de 2017- 5%)","Proyectos_x000D_
apoyados_x000D_
financieramente en_x000D_
Mejoramiento_x000D_
Integral de Barrios_x000D_
(Presupuesto_x000D_
participativo –_x000D_
Acuerdo 02 de_x000D_
2017 -5%)",8,27.0,2.943.000.000,"Secretaria de_x000D_
planeación",Número
"Ordenamiento
territorial y
desarrollo
urbano","4002013-Servicio de_x000D_
apoyo_x000D_
financiero_x000D_
para el_x000D_
Mejoramiento_x000D_
integral de_x000D_
barrios_x000D_
(Presupuesto_x000D_
participativo)","Proyectos_x000D_
apoyados_x000D_
financieramente en_x000D_
Mejoramiento_x000D_
Integral de Barrios_x000D_
(Ejecución_x000D_
remanente de años_x000D_
anteriores)",0,19.0,3.746.252.814,"Secretaria de_x000D_
planeación",Número
"Ordenamiento
territorial y
desarrollo
urbano","4002016-Documentos_x000D_
de_x000D_
planeación","Documentos de_x000D_
planeación_x000D_
elaborados_x000D_
(Estudio de_x000D_
Riesgos AVR –_x000D_
Actualización_x000D_
PBOT)",0,1.0,1.493.000.000,"Secretaria de_x000D_
planeación",Número
"Ordenamiento
territorial y
desarrollo
urbano","Parques_x000D_
construidos","Parques_x000D_
construidos._x000D_
(Adquisición,",,1.0,3.000.000.000,,
"desprotección
social y/o
familiar",,"descentralizadas_x000D_
(satélites)_x000D_
optimizadas, en_x000D_
funcionamiento y_x000D_
fortalecidas)",9,,,Social,
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar","Servicios de_x000D_
atención_x000D_
integral a_x000D_
población en_x000D_
condición de_x000D_
discapacidad","Personas_x000D_
atendidas con_x000D_
servicios integrales_x000D_
(funcionamiento_x000D_
UA; Contrato de_x000D_
Beneficencia;_x000D_
Banco de ayudas_x000D_
técnicas)",2400,2400.0,1200000000,"Secretaria de_x000D_
Desarrollo_x000D_
Social",Número
"Atención
integral de
población en
situación
permanente
de
desprotección
social y/o
familiar","Servicios de_x000D_
atención_x000D_
integral a_x000D_
población en_x000D_
condición de_x000D_
discapacidad","Personas_x000D_
atendidas con_x000D_
servicios integrales_x000D_
(Creación del_x000D_
subsidio para_x000D_
cuidadores_x000D_
vulnerables de la_x000D_
población en_x000D_
condición y/o_x000D_
situación de_x000D_
discapacidad_x000D_
certificada)",0,400.0,189000000,"Secretaria de_x000D_
Desarrollo_x000D_
Social",Número
